frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time
2,88408800.586800,2302213.000000
4,1564047.715580,656105.000000
8,89092232.499333,2370231.000000
16,1634669.898519,1096888.000000
32,801565.173312,369011.000000
64,165346295.622378,3267233.000000
128,96814675.750889,2283718.000000
256,92251957.442786,2168721.000000
512,99951035.843819,2201851.000000
1024,87827995.898810,2236378.000000
2048,1375184.637208,567324.000000
4096,4005655.893081,951088.000000
8192,154298274.885109,3524467.000000
16384,91123161.432993,2159438.000000
32768,7471138.496645,1146535.000000
65536,5717886.943069,961148.000000
