frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time
2,1736158.078805,986836.000000
4,90823161.598246,2308580.000000
8,166230871.816884,3974305.000000
16,166211523.294741,3661227.000000
32,165431106.329452,3411298.000000
64,91126526.258774,2290415.000000
128,171799027.177575,3323375.000000
256,88995043.867867,2290220.000000
512,2491562.705629,907069.000000
1024,94312204.684647,2268787.000000
2048,145619323.110195,3531970.000000
4096,2501984.050452,1116605.000000
8192,215971178.334479,2997538.000000
16384,92495483.283556,2224798.000000
32768,111692016.249959,2206783.000000
65536,154016463.199522,3660063.000000
