frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time
2,168575564.306622,3320433.000000
4,167054150.820018,3469034.000000
8,90071015.986095,2336023.000000
16,91123019.986774,2354858.000000
32,171040324.307061,3533083.000000
64,2037714.711720,1046798.000000
128,176036903.721636,3333526.000000
256,94969425.079258,2273198.000000
512,171799664.408841,3420982.000000
1024,1753812.859803,451004.000000
2048,152609612.369838,3396543.000000
4096,1984175.913345,675350.000000
8192,148777746.094252,3207684.000000
16384,116718145.188776,3324805.000000
32768,114145674.228707,3416236.000000
65536,164698241.683685,2301110.000000
