frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time
2,88749157.478885,2310166.000000
4,1220934.240508,569817.000000
8,168300455.309701,3244184.000000
16,167093392.571328,3336445.000000
32,1701477.077187,595621.000000
64,2042730.439735,966233.000000
128,2236082.807328,778501.000000
256,1260827.211662,425792.000000
512,158502414.730040,3410775.000000
1024,105926992.487860,2307708.000000
2048,2351660.597148,930996.000000
4096,84983257.250219,2257364.000000
8192,132918184.275553,3473897.000000
16384,126802855.276983,3651328.000000
32768,5108913.555841,730101.000000
65536,75325966.079379,2243903.000000
