frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time
2,167842058.362702,3387453.000000
4,1928454.168013,887057.000000
8,89848456.233774,2138729.000000
16,165101362.974733,3348098.000000
32,168805565.482307,3389735.000000
64,92266375.011859,2230587.000000
128,1606544.562209,876846.000000
256,1896059.770458,703805.000000
512,83688078.464268,2229535.000000
1024,1253376.843920,709866.000000
2048,172151578.560268,3411370.000000
4096,2224594.640985,671623.000000
8192,170663992.742708,3265472.000000
16384,9547420.463877,1125118.000000
32768,57001710.046556,2160119.000000
65536,3736502.391903,1107127.000000
