arrival_rate,L,FCFS_percentage,SRPT_percentage
20.0,16.772,1.0,99.0
20.0,7.918,1.0,99.0
20.0,5.649,0.0,100.0
20.0,4.639,2.0,98.0
20.0,4.073,0.0,100.0
22.0,16.772,21.0,79.0
22.0,7.918,0.0,100.0
22.0,5.649,0.0,100.0
22.0,4.639,0.0,100.0
22.0,4.073,1.0,99.0
24.0,16.772,72.0,28.0
24.0,7.918,0.0,100.0
24.0,5.649,0.0,100.0
24.0,4.639,3.0,97.0
24.0,4.073,0.0,100.0
26.0,16.772,40.0,60.0
26.0,7.918,0.0,100.0
26.0,5.649,2.0,98.0
26.0,4.639,0.0,100.0
26.0,4.073,0.0,100.0
28.0,16.772,23.0,77.0
28.0,7.918,0.0,100.0
28.0,5.649,1.0,99.0
28.0,4.639,4.0,96.0
28.0,4.073,0.0,100.0
30.0,16.772,71.0,29.0
30.0,7.918,0.0,100.0
30.0,5.649,0.0,100.0
30.0,4.639,0.0,100.0
30.0,4.073,0.0,100.0
32.0,16.772,73.0,27.0
32.0,7.918,1.0,99.0
32.0,5.649,1.0,99.0
32.0,4.639,0.0,100.0
32.0,4.073,1.0,99.0
34.0,16.772,99.0,1.0
34.0,7.918,1.0,99.0
34.0,5.649,0.0,100.0
34.0,4.639,0.0,100.0
34.0,4.073,0.0,100.0
36.0,16.772,82.0,18.0
36.0,7.918,1.0,99.0
36.0,5.649,0.0,100.0
36.0,4.639,1.0,99.0
36.0,4.073,0.0,100.0
38.0,16.772,33.0,67.0
38.0,7.918,1.0,99.0
38.0,5.649,2.0,98.0
38.0,4.639,0.0,100.0
38.0,4.073,0.0,100.0
40.0,16.772,65.0,35.0
40.0,7.918,1.0,99.0
40.0,5.649,0.0,100.0
40.0,4.639,1.0,99.0
40.0,4.073,2.0,98.0
