arrival_rate,bp_L,bp_H,FCFS_percentage,BAL_percentage,total_rounds
24.00,50.00,25,0.00,100.00,4000
30.00,50.00,25,0.00,100.00,4000
26.00,50.00,25,0.00,100.00,4000
32.00,50.00,25,0.00,100.00,4000
20.00,250.00,100,0.00,100.00,4000
36.00,50.00,25,0.00,100.00,4000
38.00,50.00,25,0.00,100.00,4000
40.00,50.00,25,0.00,100.00,4000
20.00,1000.00,400,0.00,100.00,4000
32.00,250.00,100,0.00,100.00,4000
24.00,250.00,100,0.00,100.00,4000
22.00,1000.00,400,0.00,100.00,4000
28.00,50.00,25,0.00,100.00,4000
22.00,50.00,25,0.00,100.00,4000
34.00,50.00,25,0.00,100.00,4000
20.00,50.00,25,0.00,100.00,4000
34.00,250.00,100,0.00,100.00,4000
24.00,1000.00,400,0.00,100.00,4000
28.00,1000.00,400,0.00,100.00,4000
32.00,1000.00,400,0.00,100.00,4000
40.00,1000.00,400,0.00,100.00,4000
22.00,250.00,100,0.00,100.00,4000
34.00,1000.00,400,0.00,100.00,4000
36.00,250.00,100,0.00,100.00,4000
30.00,1000.00,400,0.00,100.00,4000
36.00,1000.00,400,0.00,100.00,4000
26.00,1000.00,400,0.00,100.00,4000
38.00,250.00,100,0.00,100.00,4000
38.00,1000.00,400,0.00,100.00,4000
30.00,250.00,100,0.00,100.00,4000
26.00,250.00,100,0.00,100.00,4000
40.00,250.00,100,0.00,100.00,4000
28.00,250.00,100,0.00,100.00,4000
40.00,7.92,512,0.00,100.00,40000
40.00,5.65,4096,0.00,100.00,40000
40.00,16.77,64,0.00,100.00,40000
40.00,30.00,6,0.00,100.00,40000
40.00,30.00,12,0.00,100.00,40000
34.00,4.07,262144,0.00,100.00,40000
40.00,4.64,32768,0.00,100.00,40000
38.00,7.92,512,0.00,100.00,40000
40.00,30.00,9,0.00,100.00,40000
38.00,5.65,4096,0.00,100.00,40000
38.00,16.77,64,0.00,100.00,40000
36.00,4.07,262144,0.00,100.00,40000
38.00,4.64,32768,0.00,100.00,40000
38.00,30.00,12,0.00,100.00,40000
38.00,4.07,262144,0.00,100.00,40000
36.00,30.00,6,0.00,100.00,40000
38.00,30.00,6,0.00,100.00,40000
36.00,30.00,12,0.00,100.00,40000
38.00,30.00,9,0.00,100.00,40000
36.00,7.92,512,0.00,100.00,40000
34.00,5.65,4096,0.00,100.00,40000
36.00,4.64,32768,0.00,100.00,40000
36.00,16.77,64,0.00,100.00,40000
36.00,30.00,9,0.00,100.00,40000
34.00,7.92,512,0.00,100.00,40000
32.00,4.07,262144,0.00,100.00,40000
34.00,30.00,9,0.00,100.00,40000
36.00,5.65,4096,0.00,100.00,40000
34.00,30.00,6,0.00,100.00,40000
34.00,30.00,12,0.00,100.00,40000
32.00,4.64,32768,0.00,100.00,40000
30.00,4.07,262144,0.00,100.00,40000
28.00,4.07,262144,0.00,100.00,40000
34.00,16.77,64,0.00,100.00,40000
34.00,4.64,32768,0.00,100.00,40000
32.00,30.00,6,0.00,100.00,40000
32.00,30.00,12,0.00,100.00,40000
32.00,30.00,9,0.00,100.00,40000
32.00,7.92,512,0.00,100.00,40000
26.00,4.64,32768,0.00,100.00,40000
32.00,16.77,64,0.00,100.00,40000
32.00,5.65,4096,0.00,100.00,40000
40.00,4.07,262144,0.00,100.00,40000
28.00,4.64,32768,0.00,100.00,40000
26.00,4.07,262144,0.00,100.00,40000
24.00,4.07,262144,0.00,100.00,40000
30.00,4.64,32768,0.00,100.00,40000
30.00,5.65,4096,0.00,100.00,40000
22.00,4.07,262144,0.00,100.00,40000
24.00,4.64,32768,0.00,100.00,40000
28.00,5.65,4096,0.00,100.00,40000
30.00,7.92,512,0.00,100.00,40000
20.00,4.07,262144,0.00,100.00,40000
22.00,4.64,32768,0.00,100.00,40000
26.00,5.65,4096,0.00,100.00,40000
24.00,5.65,4096,0.00,100.00,40000
20.00,4.64,32768,0.00,100.00,40000
28.00,7.92,512,0.00,100.00,40000
30.00,16.77,64,0.00,100.00,40000
22.00,5.65,4096,0.00,100.00,40000
30.00,30.00,9,0.00,100.00,40000
20.00,5.65,4096,0.00,100.00,40000
30.00,30.00,12,0.00,100.00,40000
30.00,30.00,6,0.00,100.00,40000
26.00,7.92,512,0.00,100.00,40000
24.00,7.92,512,0.00,100.00,40000
28.00,16.77,64,0.00,100.00,40000
28.00,30.00,9,0.00,100.00,40000
28.00,30.00,12,0.00,100.00,40000
28.00,30.00,6,0.00,100.00,40000
22.00,7.92,512,0.00,100.00,40000
20.00,7.92,512,0.00,100.00,40000
26.00,16.77,64,0.00,100.00,40000
26.00,30.00,12,0.00,100.00,40000
26.00,30.00,9,0.00,100.00,40000
26.00,30.00,6,0.00,100.00,40000
24.00,16.77,64,0.00,100.00,40000
24.00,30.00,12,0.00,100.00,40000
24.00,30.00,9,0.00,100.00,40000
22.00,16.77,64,0.00,100.00,40000
24.00,30.00,6,0.00,100.00,40000
22.00,30.00,12,0.00,100.00,40000
22.00,30.00,9,0.00,100.00,40000
20.00,16.77,64,0.00,100.00,40000
20.00,30.00,12,0.00,100.00,40000
22.00,30.00,6,0.00,100.00,40000
20.00,30.00,9,0.00,100.00,40000
20.00,30.00,6,0.00,100.00,40000
