frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,1226213.205318,248083.000000,0.000000
4,1657445.068961,288222.000000,0.000000
8,1440557.832799,294543.000000,0.000000
16,1551249.948184,296305.000000,0.000000
32,2242878.662796,300340.000000,0.000000
64,2188702.244419,234989.000000,0.000000
128,1860320.944600,294529.000000,0.000000
256,2163087.302793,287577.000000,0.000000
512,1790977.701698,269481.000000,0.000000
1024,2401284.613129,298862.000000,0.000000
2048,1893596.518020,304810.000000,0.000000
4096,3238721.164437,303731.000000,0.000000
8192,1783153.390235,250882.000000,0.000000
16384,2390716.419279,288530.000000,0.000000
32768,4783493.823184,299578.000000,0.000000
65536,3358505.539827,297031.000000,0.000000
