frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,261035.877567,143433.000000,20.566964
4,204671.810216,131365.000000,6.000000
8,393198.462835,238951.000000,16.155494
16,265233.436258,231586.000000,19.723083
32,180974.554250,140888.000000,463.358393
64,194508.876862,152141.000000,142.586816
128,326757.119251,201733.000000,439.503129
256,441930.005121,266911.000000,245418.832552
512,337243.042066,197562.000000,31786.604144
1024,650705.552329,310037.000000,2039.280265
2048,228687.188196,193375.000000,9704.055029
4096,666899.708860,267731.000000,77016.785093
8192,476142.469092,346993.000000,41086.660767
16384,348329.601587,162342.000000,97255.170007
32768,165443.768468,108867.000000,112061.287392
65536,712874.279869,201936.000000,684112.006734
