frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,206586.331073,98936.000000,1382.612382
4,239449.367093,116163.000000,48.363209
8,289240.654191,114420.000000,96.374270
16,686418.098320,266554.000000,131.038162
32,495308.120279,225928.000000,4928.618062
64,636969.041040,245990.000000,6854.946243
128,305983.529307,165269.000000,171.341764
256,350041.151531,140887.000000,1298.500289
512,225852.823686,99649.000000,1149.519900
1024,293150.097953,137177.000000,4547.846303
2048,449733.219049,237725.000000,22738.037734
4096,525783.758082,315336.000000,34398.603998
8192,358554.141617,175459.000000,123972.043990
16384,144435.713904,49099.000000,91942.212966
32768,527730.242561,203517.000000,262634.888244
65536,465357.521710,147154.000000,445280.792704
