frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,353951.734777,204525.000000,84.498521
4,950844.778622,293074.000000,689.871727
8,507348.779491,141893.000000,204.880453
16,803376.261362,285883.000000,55.027266
32,582791.379694,221862.000000,4855.729399
64,646458.841909,294719.000000,5809.191252
128,1407358.058448,305662.000000,269.822164
256,443945.672239,231222.000000,2402.084720
512,988987.761000,300210.000000,7258.189306
1024,1572755.854490,293852.000000,231609.895145
2048,912081.174886,272109.000000,225634.620247
4096,937146.994277,258749.000000,182381.286921
8192,974611.168324,215542.000000,277828.814114
16384,657114.028725,205784.000000,160638.670540
32768,1363815.851663,239636.000000,490749.270675
65536,503099.125385,89264.000000,0.000000
