frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,820588.036262,301361.000000,0.000000
4,388284.119919,144448.000000,0.000000
8,796833.199840,251852.000000,0.000000
16,328566.616510,146091.000000,0.000000
32,824020.121553,300076.000000,0.000000
64,676219.131573,247473.000000,0.000000
128,720963.854963,272988.000000,0.000000
256,751146.850327,260849.000000,0.000000
512,466838.033853,189331.000000,0.000000
1024,1256649.721700,290662.000000,0.000000
2048,865819.138588,285935.000000,0.000000
4096,1186447.799209,195625.000000,0.000000
8192,1380114.029037,265894.000000,0.000000
16384,906200.249616,209290.000000,0.000000
32768,1246601.318335,262452.000000,0.000000
65536,2740477.669033,218648.000000,0.000000
