frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,446568.507968,138885.000000,0.000000
4,302686.742878,160155.000000,0.000000
8,503603.023998,213883.000000,0.000000
16,827268.860296,290043.000000,0.000000
32,720033.382190,266469.000000,0.000000
64,463418.623147,217751.000000,0.000000
128,891243.587637,274867.000000,0.000000
256,764564.287706,292316.000000,0.000000
512,734124.366182,278929.000000,0.000000
1024,490778.236540,194352.000000,0.000000
2048,1698980.901379,289217.000000,0.000000
4096,599749.409447,299140.000000,0.000000
8192,943724.488352,163776.000000,0.000000
16384,1050888.452947,284298.000000,0.000000
32768,2853335.747785,264348.000000,0.000000
65536,1292976.817069,168847.000000,0.000000
