frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,3666539.542671,300379.000000,45.607017
4,31607348.890492,604184.000000,332752.903875
8,50666877.745102,897987.000000,927913.469590
16,31785092.309707,602668.000000,730765.240827
32,51009442.884726,896407.000000,1336655.333623
64,31571442.995538,598218.000000,1898823.723150
128,51626621.150712,906716.000000,2260608.169925
256,8256870.474861,300000.000000,1417968.369798
512,52003443.280947,905294.000000,5016475.056352
1024,6560209.248906,288887.000000,657750.387849
2048,6437257.096830,305012.000000,1290271.049283
4096,51230189.661648,902724.000000,7222525.050804
8192,32054386.642280,605153.000000,4807368.325563
16384,31384132.233092,602268.000000,12593149.192788
32768,50388174.001319,906295.000000,19146711.410789
65536,31783246.600874,606049.000000,12789428.899016
