frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,2460754.774674,209007.000000,36151.712532
4,51632218.368024,905327.000000,655887.627113
8,31593037.807999,603768.000000,536735.757125
16,31430490.509390,601766.000000,430235.373485
32,51383473.307379,900554.000000,1179495.465606
64,51588612.389150,903288.000000,2264286.749242
128,5933491.441036,267821.000000,33166.125610
256,51531777.849813,898330.000000,5199714.797545
512,31828436.624724,601492.000000,3382640.235515
1024,32089539.979419,600855.000000,3289109.835575
2048,51837699.295223,907558.000000,7907883.602589
4096,32030123.442510,600735.000000,7366231.294255
8192,29876320.802932,599817.000000,2901743.167533
16384,51305493.745844,905374.000000,10885885.875074
32768,31392467.620774,600080.000000,10367163.786294
65536,8290302.043897,251261.000000,4922709.690452
