frequency,SETF_L2_norm_flow_time,SETF_maximum_flow_time,SETF_longest_H_L2_norm
2,51535813.706764,907214.000000,1156270.493033
4,31709220.150067,606418.000000,148.734663
8,51114889.494279,896994.000000,1225104.770540
16,50756017.470034,898128.000000,1157260.470378
32,6559931.327442,300968.000000,161069.993826
64,51856184.111922,907691.000000,2856893.364760
128,31624792.051358,603001.000000,874825.661295
256,51430772.520231,898974.000000,4151489.926128
512,32013719.593553,603960.000000,3164910.186217
1024,51709678.400874,908153.000000,6578210.191967
2048,5661849.507031,208846.000000,576986.464216
4096,5388284.656733,303441.000000,1797736.546160
8192,2929065.374504,196135.000000,329160.374315
16384,820739.332785,91837.000000,0.000000
32768,3488450.737697,190091.000000,1079613.669196
65536,52274193.475797,899842.000000,22931307.380469
