arrival_rate,bp_parameter_L,bp_parameter_H,SJF_L2_norm_flow_time
36,8.500000,262144,13845701.772889
36,9.800000,32768,23723691.529759
36,12.400000,4096,43116327.160790
36,18.900000,512,77290482.885047
36,56.300000,64,156737063.049155
36,60.000000,12,146277265.826895
36,60.000000,18,140468771.399126
36,60.000000,24,133059129.173547
