frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,367559.074466,200692.000000,0.000000
4,492321.778792,242592.000000,0.000000
8,346528.431174,188068.000000,0.000000
16,324478.500684,186153.000000,0.000000
32,334588.301016,160012.000000,0.000000
64,621720.946503,262993.000000,0.000000
128,614202.881430,256378.000000,0.000000
256,597419.632139,268016.000000,0.000000
512,522137.733022,303347.000000,0.000000
1024,846356.277425,253900.000000,0.000000
2048,432063.209179,224943.000000,0.000000
4096,176290.251052,82818.000000,0.000000
8192,371483.214279,164248.000000,0.000000
16384,844545.170386,251962.000000,0.000000
32768,381799.927336,168761.000000,0.000000
65536,196933.356796,75301.000000,0.000000
