frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,122137.611951,98645.000000,0.000000
4,208387.956780,127585.000000,0.000000
8,279091.491228,225583.000000,0.000000
16,202774.986833,161622.000000,0.000000
32,131963.922513,76719.000000,0.000000
64,87727.889135,51273.000000,0.000000
128,419457.191283,192841.000000,0.000000
256,108340.727190,74490.000000,0.000000
512,148238.213228,120207.000000,0.000000
1024,124246.660603,83442.000000,0.000000
2048,159582.566435,95597.000000,0.000000
4096,358515.108546,179825.000000,0.000000
8192,261772.530283,207124.000000,0.000000
16384,418528.894379,239697.000000,0.000000
32768,488168.260388,254499.000000,0.000000
65536,295082.240847,140863.000000,0.000000
