frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,291057.579652,162798.000000,56.276105
4,201155.297494,126613.000000,859.161219
8,365645.126111,197087.000000,95.388679
16,496688.257581,273063.000000,82.601453
32,173710.390291,130643.000000,189.174523
64,142525.102077,105209.000000,792.526971
128,882352.292065,301086.000000,486.028806
256,445652.776921,227066.000000,1832.616708
512,430635.150730,222389.000000,21897.648595
1024,479277.853412,206458.000000,6621.049917
2048,850163.051932,228021.000000,30458.109331
4096,663876.123198,271215.000000,417091.904726
8192,638892.664963,202733.000000,128597.499408
16384,512820.475374,116340.000000,194905.433141
32768,1313404.335106,295017.000000,1057030.351613
65536,1367007.548237,211635.000000,1114549.246931
