frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,87691.219714,62040.000000,3305.239628
4,258364.254029,94185.000000,1967.836375
8,773019.887873,298211.000000,26.907248
16,921951.872166,301079.000000,97.216254
32,728968.377038,278204.000000,242.445870
64,575147.844787,252125.000000,910.153284
128,209727.411783,154730.000000,2896.568314
256,318109.275830,150968.000000,8805.330090
512,459608.519802,225587.000000,14749.555214
1024,587134.095246,282469.000000,7488.842100
2048,456761.474424,273229.000000,37051.057799
4096,771917.916314,234684.000000,73575.097234
8192,360962.228715,106035.000000,94218.871708
16384,705724.974329,219805.000000,196507.627503
32768,630777.391658,234407.000000,280492.314226
65536,679452.857555,140918.000000,617349.397671
