frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,259871.918015,161675.000000,0.000000
4,123782.474293,105862.000000,0.000000
8,299906.148655,231361.000000,0.000000
16,122544.404128,87899.000000,0.000000
32,346064.365629,290003.000000,0.000000
64,78141.756974,55232.000000,0.000000
128,280211.098426,208394.000000,0.000000
256,186982.677850,123993.000000,0.000000
512,258149.367344,168524.000000,0.000000
1024,206251.272774,175643.000000,0.000000
2048,173100.553595,96185.000000,0.000000
4096,540763.424515,283579.000000,0.000000
8192,116591.843068,72574.000000,0.000000
16384,359546.748369,229433.000000,0.000000
32768,221862.970520,125688.000000,0.000000
65536,262434.254555,144161.000000,0.000000
