frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,735054.411461,232617.000000,96.783263
4,420171.649382,215259.000000,90.083295
8,528262.465415,225165.000000,1059.114253
16,479633.098379,227036.000000,131.339255
32,856418.885442,238163.000000,6224.300282
64,1136594.785035,229009.000000,297083.724039
128,849858.097936,230261.000000,17418.153059
256,433109.872338,133766.000000,2030.987937
512,992969.346749,235842.000000,56129.090720
1024,1200779.481843,226071.000000,206572.089453
2048,1001072.840853,217262.000000,142402.263009
4096,1384444.367290,235709.000000,444839.703842
8192,793699.452793,230662.000000,331752.351699
16384,800417.304814,168215.000000,626111.818554
32768,1353423.731558,177013.000000,472670.945496
65536,1646644.708299,111871.000000,1402336.126912
