Round,Algorithm_Used
1,RMLF
2,FCFS
3,RMLF
4,RMLF
5,FCFS
6,RMLF
7,RMLF
8,FCFS
9,RMLF
10,RMLF
11,RMLF
12,FCFS
13,RMLF
14,RMLF
15,RMLF
16,FCFS
17,RMLF
18,RMLF
19,FCFS
20,RMLF
21,RMLF
22,FCFS
23,RMLF
24,RMLF
25,RMLF
26,RMLF
27,FCFS
28,RMLF
29,RMLF
30,RMLF
31,RMLF
32,FCFS
33,RMLF
34,RMLF
35,RMLF
36,RMLF
37,FCFS
38,RMLF
39,RMLF
40,RMLF
41,RMLF
42,FCFS
43,RMLF
44,RMLF
45,RMLF
46,RMLF
47,RMLF
48,RMLF
49,RMLF
50,RMLF
51,RMLF
52,FCFS
53,RMLF
54,RMLF
55,RMLF
56,RMLF
57,RMLF
58,FCFS
59,RMLF
