Round,Algorithm_Used
1,RMLF
2,FCFS
3,FCFS
4,FCFS
5,RMLF
6,FCFS
7,RMLF
8,FCFS
9,RMLF
10,RMLF
11,FCFS
12,FCFS
13,RMLF
14,FCFS
15,RMLF
16,FCFS
17,RMLF
18,RMLF
19,FCFS
20,RMLF
21,FCFS
22,RMLF
23,RMLF
24,RMLF
25,RMLF
26,RMLF
27,RMLF
28,RMLF
29,RMLF
30,RMLF
31,RMLF
32,RMLF
33,RMLF
34,RMLF
35,FCFS
36,RMLF
37,RMLF
38,RMLF
39,RMLF
40,FCFS
41,RMLF
42,RMLF
43,RMLF
44,FCFS
45,RMLF
46,RMLF
47,RMLF
48,RMLF
49,RMLF
50,RMLF
51,RMLF
52,RMLF
53,RMLF
54,RMLF
55,RMLF
56,RMLF
57,RMLF
58,RMLF
59,RMLF
60,RMLF
61,FCFS
62,RMLF
63,RMLF
64,RMLF
65,RMLF
66,RMLF
67,RMLF
68,RMLF
69,RMLF
70,RMLF
71,RMLF
72,RMLF
73,RMLF
74,RMLF
75,RMLF
76,RMLF
77,RMLF
78,RMLF
79,RMLF
80,RMLF
