Round,Algorithm_Used
1,RMLF
2,FCFS
3,RMLF
4,FCFS
5,FCFS
6,FCFS
7,FCFS
8,FCFS
9,RMLF
10,FCFS
11,FCFS
12,RMLF
13,RMLF
14,FCFS
15,RMLF
16,RMLF
17,RMLF
18,RMLF
19,RMLF
20,RMLF
21,FCFS
22,RMLF
23,RMLF
24,RMLF
25,RMLF
26,RMLF
27,RMLF
28,RMLF
29,RMLF
30,RMLF
31,FCFS
32,RMLF
33,FCFS
34,RMLF
35,RMLF
36,FCFS
37,RMLF
38,FCFS
39,RMLF
40,FCFS
41,RMLF
42,RMLF
43,FCFS
44,RMLF
45,FCFS
46,RMLF
47,FCFS
48,RMLF
49,RMLF
50,FCFS
51,RMLF
52,FCFS
53,RMLF
54,FCFS
55,RMLF
56,RMLF
57,FCFS
58,RMLF
59,FCFS
60,RMLF
61,FCFS
62,RMLF
63,RMLF
64,FCFS
65,RMLF
66,FCFS
67,RMLF
68,FCFS
69,RMLF
70,RMLF
71,FCFS
72,RMLF
73,FCFS
74,RMLF
75,FCFS
76,RMLF
77,RMLF
78,FCFS
79,RMLF
80,FCFS
81,RMLF
82,FCFS
83,RMLF
84,FCFS
85,RMLF
86,RMLF
87,FCFS
88,RMLF
89,FCFS
90,RMLF
91,RMLF
92,FCFS
93,RMLF
94,FCFS
95,RMLF
96,FCFS
97,RMLF
98,RMLF
99,FCFS
100,RMLF
101,FCFS
102,RMLF
