frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,1195800.677877,54673.000000,0.000000
4,1228531.465661,59605.000000,0.000000
8,31455247.160115,562739.000000,0.000000
16,31650966.309625,569900.000000,0.000000
32,31785190.997500,560298.000000,0.000000
64,2313167.279148,98265.000000,0.000000
128,1798207.306095,64850.000000,0.000000
256,32978674.573382,563884.000000,0.000000
512,2291709.180972,113369.000000,0.000000
1024,32213936.859144,548165.000000,0.000000
2048,60222934.011417,898495.000000,0.000000
4096,2059682.273803,69599.000000,0.000000
8192,31805434.462521,575434.000000,0.000000
16384,31469524.887570,525531.000000,0.000000
32768,35275796.651690,582476.000000,0.000000
65536,31340280.943851,550567.000000,0.000000
