frequency,MLFQ_L2_norm_flow_time,MLFQ_maximum_flow_time,MLFQ_longest_H_L2_norm
2,31481541.771200,546640.000000,0.000000
4,31568778.894149,567389.000000,0.000000
8,674641.218246,32749.000000,0.000000
16,32554600.876314,584366.000000,0.000000
32,57972326.386641,883266.000000,0.000000
64,32390465.407369,551645.000000,0.000000
128,59648860.779225,883037.000000,0.000000
256,32702997.194940,569135.000000,0.000000
512,59539776.379239,896614.000000,0.000000
1024,58889966.345363,883970.000000,0.000000
2048,32469158.742384,575702.000000,0.000000
4096,31560582.341328,549301.000000,0.000000
8192,33740280.269647,551603.000000,0.000000
16384,2288872.029518,74439.000000,0.000000
32768,60328514.748200,892423.000000,0.000000
65536,2863275.520470,117734.000000,0.000000
