frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,118184.784723,52109.000000,470.660175
4,311071.376507,176338.000000,89.022469
8,232774.817431,173766.000000,208.535369
16,446768.958186,229336.000000,95.973955
32,351120.375621,214693.000000,256.976653
64,143120.623350,79839.000000,727.454466
128,471537.106119,213987.000000,1710.110230
256,222697.371098,159017.000000,1116.038530
512,396300.399626,255055.000000,3071.360773
1024,612122.922326,283650.000000,13561.872105
2048,300545.029100,160237.000000,9056.694982
4096,492085.169503,219085.000000,262272.157432
8192,562767.212719,270875.000000,168148.015335
16384,826795.247999,232966.000000,319878.935685
32768,620305.218834,57950.000000,580111.483145
65536,304894.135673,119554.000000,225817.846398
