frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,173044.228742,141881.000000,29.732137
4,117829.929695,65359.000000,30.133038
8,106546.488914,68176.000000,61.692787
16,103119.608945,55995.000000,43.588989
32,111822.063802,76867.000000,64.443774
64,156741.786330,122125.000000,38017.832592
128,159138.205246,126147.000000,172.985549
256,69939.641456,34653.000000,1498.046728
512,345227.358283,250746.000000,800.529825
1024,441028.947709,195275.000000,31025.404542
2048,535714.801739,308484.000000,29488.966750
4096,210081.156080,113725.000000,16103.570598
8192,418846.751879,238353.000000,210374.648273
16384,418342.431606,299118.000000,239782.391405
32768,604824.211356,200127.000000,364868.407266
65536,213613.770097,118088.000000,0.000000
