frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,444525.721772,299694.000000,980.129073
4,59696.394405,26928.000000,34.612137
8,349323.496630,309363.000000,35.665109
16,86004.614405,63692.000000,403.027294
32,340844.144371,265461.000000,1879.321952
64,209948.879523,155862.000000,124.863926
128,317868.137511,248857.000000,267.099232
256,112622.512869,59614.000000,551.089829
512,603248.700392,311430.000000,7697.655357
1024,241141.288344,110475.000000,4825.237300
2048,467000.510180,373214.000000,99325.734832
4096,286429.309141,158120.000000,29225.964928
8192,521189.154876,251209.000000,27251.888118
16384,323658.641539,169489.000000,37093.009031
32768,807712.727693,291276.000000,605222.002840
65536,880173.113695,293148.000000,782206.199661
