frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,112644.102660,57481.000000,19.313208
4,166331.802747,149032.000000,160.340263
8,403867.428949,278901.000000,75.159830
16,149196.264963,100076.000000,55.380502
32,311522.310525,253610.000000,929.154992
64,304238.209691,239537.000000,203.056642
128,130566.572161,66345.000000,491.213803
256,47900.799367,21896.000000,532.593654
512,307378.144770,235121.000000,11420.947772
1024,210484.542917,187113.000000,5962.116570
2048,148843.347372,55292.000000,27650.352764
4096,188158.390488,106999.000000,22889.428193
8192,314679.701335,192402.000000,43693.233252
16384,140877.661480,95804.000000,111985.322369
32768,123658.475666,56132.000000,0.000000
65536,112519.301140,72234.000000,0.000000
