frequency,SRPT_L2_norm_flow_time,SRPT_maximum_flow_time,SRPT_longest_H_L2_norm
2,199261.972378,125986.000000,20.976177
4,114838.060890,89477.000000,27.513633
8,253919.307186,196408.000000,109.210805
16,213009.442657,158316.000000,172.481883
32,451705.930568,250871.000000,423.316666
64,377289.664244,197996.000000,2860.380569
128,104619.317370,64170.000000,197.555056
256,228672.415717,195703.000000,5175.445198
512,433302.426481,280571.000000,115897.691155
1024,434974.600821,232142.000000,6608.360387
2048,280740.404374,184456.000000,68179.186905
4096,173981.112173,108910.000000,38240.268069
8192,433741.235619,314895.000000,43302.026442
16384,477978.840541,205091.000000,296639.768861
32768,264954.109570,155050.000000,17718.480663
65536,127509.152456,89753.000000,0.000000
