arrival_rate,RR_L2_Norm,SRPT_L2_Norm,SETF_L2_Norm,FCFS_L2_Norm,RMLF_L2_Norm,DYNAMIC_L2_Norm,RFdynamic_L2_Norm,BAL_L2_Norm
20,14331890.397649083,9170960.289091432,20954090.457521964,19384984.64677104,15269472.087183367,9170960.289091432,17914426.860062424,9494706.104404023
22,12646831.291324558,8164199.163559583,19218454.15843371,19337017.910820633,13890518.75307607,8164199.163559583,14801108.32727786,8312759.975266398
24,11424780.3656178,7328106.177485763,16444844.720570913,18110471.611861907,12473347.070473265,7328106.177485763,13567836.881878702,7294531.880562658
26,10537721.930375986,6859375.974827084,15183824.700727746,15602246.97750715,11625191.702971224,6859375.974827084,13511709.735943893,6620358.350630802
28,9056721.58015907,5991325.329819021,13687250.829071995,15037667.182171809,10093675.416644624,5991325.329819021,11147331.527730975,5515320.2319962345
30,9191218.14838561,5997641.977516247,12485522.38779183,13074726.806074075,10283123.32324163,5997641.977516247,10429332.571729794,5594394.8314782
32,8536242.351330824,5537749.504448626,11978075.811788678,14445007.476319319,9817943.02257474,5537749.504448626,10267735.423323927,5123240.757360715
34,6840335.759833431,4453042.226751393,9335723.424256044,13881344.653706968,7632345.156474254,4453042.226751393,8406720.30602232,3984236.469715245
36,7095638.441798031,4639016.587254243,10286557.546546318,15512702.952888256,7943815.777881497,4639016.587254243,8964425.688798418,4140525.479921238
38,5820416.720171504,3787445.431065245,7484778.609947591,10819969.529180015,6458467.413006045,3787445.431065245,6678526.979050545,3455620.626020744
40,4535693.084783846,2991031.03225794,5936833.629750542,9849005.401922217,5011343.914996455,2991031.03225794,5536879.227793848,2834095.3331361315
