arrival_rate,RR_L2_Norm,SRPT_L2_Norm,SETF_L2_Norm,FCFS_L2_Norm,RMLF_L2_Norm,DYNAMIC_L2_Norm,RFdynamic_L2_Norm,BAL_L2_Norm
20,14075466.368280165,9045004.623581128,22678545.272095166,24398992.22907395,15030467.238449275,9045004.623581128,15378108.75342251,9325973.811675219
22,12629342.139050433,8102684.7671721745,20219298.03277777,22501608.92280952,13741677.305775594,8102684.7671721745,14065508.26919959,8278928.441746794
24,11603831.112239009,7524518.904575627,21270497.684811633,24274683.234073665,12666598.701817784,7524518.904575627,13187945.111724837,7442828.064192871
26,10282120.087367488,6695532.540724972,15801016.14480151,16838836.449947216,11331363.695558712,6695532.540724972,11809234.0958552,6459042.742951621
28,9937175.976595765,6514860.718847948,15054563.538170146,17155531.117304005,10783569.50052514,6514860.718847948,10966498.091684464,6215418.013014008
30,8771381.479195224,5746374.77309747,13967570.339315353,16065052.848110056,9888317.596821565,5746374.77309747,10005318.70332145,5318775.0715320725
32,7822642.9539215835,5197461.9834322985,11740844.556005245,14230107.364224944,9056177.180328187,5197461.9834322985,8988705.505820291,4650833.138304684
34,8123439.116742367,5379728.892453224,11761379.524514545,14518896.363540998,9224430.795232408,5379728.892453224,9608320.86938363,4776050.8569103405
36,6164611.487267952,4136625.601803238,9016487.214022487,12694703.220437177,6990178.53942394,4136625.601803238,7125616.337135335,3622223.2633222654
38,4844161.347611473,3316508.1473325226,6473876.376438694,7349607.131582953,5718452.150243368,3316508.1473325226,6113243.86570796,2998543.4992897804
40,5327193.82293971,3586223.922912372,7336489.660392087,9786426.50221668,6182441.388587359,3586223.922912372,6391418.93024624,3296699.98692905
