arrival_rate,RR_L2_Norm,SRPT_L2_Norm,SETF_L2_Norm,FCFS_L2_Norm,RMLF_L2_Norm,DYNAMIC_L2_Norm,RFdynamic_L2_Norm,BAL_L2_Norm
20,6850275.950435208,4499363.867821872,10356422.448418083,8952627.228436746,7903449.976642985,4499363.867821872,9092004.267992124,4256835.691194928
22,11849231.841163544,7509258.708257959,17791414.882222295,19399175.391284574,12638986.9423237,7509258.708257959,20035964.06132595,7621680.41912484
24,8829136.28779067,5727030.5544459075,13000012.167131191,16516279.591564864,9669817.250463527,5727030.5544459075,17513763.67008234,5439118.982203644
26,16176678.950040488,10456241.69299792,23873420.427409265,21743223.276498843,18274628.828483194,10456241.69299792,22032114.713175766,11201126.155448075
28,16920349.70899727,11142358.319009222,26314224.13638238,23466147.65215066,19637519.215082847,11142358.319009222,24782511.10277191,11140200.267348923
30,5990147.792277416,3782024.7958619995,8030028.945371306,10428565.190687547,6406706.909485637,3782024.7958619995,10943417.694464147,3510588.930780418
32,11302581.223779637,6845479.945570508,16467763.23702952,21980546.07291741,11752839.28258521,6845479.945570508,18130201.858174827,6931934.245596246
34,3457445.3917376627,2240521.8977428004,4749957.061851402,7566791.328009449,3956914.763228796,2240521.8977428004,5206022.152566776,2101505.2156847008
36,8986197.665414888,5799512.857733398,15324189.442903465,20953062.533957895,9890911.12507417,5799512.857733398,14758202.356054379,5453123.427336759
38,3044101.0342877912,1890586.554716816,3516850.500608606,8764317.723443907,3202575.440616973,1890586.554716816,3436227.742142974,1889879.131305227
40,3464927.799609683,1957642.645072384,3702406.76887886,7455865.548812224,3368901.853494845,1957642.645072384,3441633.643130541,1950629.2048803126
