frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,66859.931185,11425.000000,191.400104
4,657186.295734,149089.000000,697.444621
8,590883.486461,164578.000000,238.480607
16,203854.562853,67631.000000,78.905006
32,279703.949307,101246.000000,31897.493538
64,191662.002494,51560.000000,1164.772510
128,1197055.760522,276307.000000,2706.984300
256,221257.587488,37501.000000,9559.847331
512,452167.892709,221196.000000,74591.463151
1024,169452.861221,88008.000000,7094.311031
2048,367565.678863,143669.000000,32169.665883
4096,622685.755711,127109.000000,62344.909888
8192,260761.169279,98834.000000,98800.949525
16384,532049.929769,263364.000000,269746.661256
32768,319817.936595,178647.000000,275749.612141
65536,130041.535799,23929.000000,0.000000
