frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,1052157.276673,283781.000000,1692.262096
4,219107.534848,62616.000000,2833.107305
8,308527.340686,76951.000000,1286.317224
16,139774.695807,43274.000000,1307.000000
32,259244.329977,48535.000000,881.362581
64,381624.626266,61675.000000,482.698664
128,185921.744987,55428.000000,747.532608
256,163929.962713,91105.000000,2548.445212
512,308612.644726,67033.000000,23719.318245
1024,500501.026048,104764.000000,229703.851544
2048,286797.348405,55242.000000,21356.046427
4096,470593.720595,225035.000000,98107.868879
8192,359807.175425,195404.000000,284301.513979
16384,345349.630171,73290.000000,177663.653418
32768,419226.160161,179854.000000,354536.974855
65536,151033.418696,27574.000000,48825.257255
