frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,79258.017222,30152.000000,74.578817
4,437926.296355,273672.000000,2720.977582
8,190815.083602,60379.000000,334.807407
16,268579.223874,159654.000000,1640.481332
32,218126.041086,143336.000000,270.122195
64,322693.368991,124206.000000,797.093470
128,829402.832035,306988.000000,14048.616978
256,408847.955173,292904.000000,6391.622016
512,750027.143593,307092.000000,8799.025628
1024,707347.991035,277211.000000,28123.865630
2048,300479.665225,178785.000000,57212.872835
4096,312379.233900,160429.000000,24423.719885
8192,732448.142476,193215.000000,146630.243835
16384,1223977.727582,246395.000000,188626.038412
32768,1315416.160288,163095.000000,1226103.502010
65536,871437.707690,223294.000000,763957.669677
