frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,767114.895328,221953.000000,78.682908
4,209928.171656,84227.000000,503.240499
8,367998.049897,54851.000000,36.400549
16,1828028.069764,152524.000000,148119.925510
32,2123902.233983,235233.000000,66075.489684
64,732452.450773,111420.000000,439.311962
128,242932.254837,104130.000000,450.890231
256,439005.477533,224366.000000,11918.132698
512,579521.061456,284735.000000,4319.464087
1024,262070.965002,70453.000000,146863.009512
2048,306295.462748,126576.000000,17056.357554
4096,530366.408395,207519.000000,7472.175252
8192,159714.711692,37195.000000,48477.425086
16384,294819.112740,176205.000000,198470.946194
32768,391592.120835,155351.000000,313508.170275
65536,551523.471563,70631.000000,0.000000
