frequency,SJF_L2_norm_flow_time,SJF_maximum_flow_time,SJF_longest_H_L2_norm
2,175428.618603,70300.000000,177.302002
4,617588.544746,297168.000000,179.749826
8,336374.827692,236236.000000,370.755984
16,248905.624129,166837.000000,561.851404
32,397985.688164,215157.000000,391.378334
64,254841.756810,100196.000000,17893.480237
128,545136.009077,272382.000000,966.936399
256,570194.269318,300568.000000,4894.112688
512,383176.638305,180925.000000,98750.933272
1024,415262.488637,236698.000000,75318.892252
2048,819077.703512,222439.000000,335871.164749
4096,281639.178383,120355.000000,173387.552275
8192,688641.522687,249791.000000,170364.240426
16384,313071.879485,69125.000000,45237.901477
32768,1954974.177109,256250.000000,1176779.896407
65536,920921.373227,260461.000000,0.000000
