arrival_rate,bp_parameter,c,RMLF_L2_Norm/FCFS_L2_Norm,RDYNAMIC_L2_Norm/FCFS_L2_Norm,RDYNAMIC_L2_Norm/SETF_L2_Norm,RDYNAMIC_L2_Norm/RR_L2_Norm,RDYNAMIC_L2_Norm/RMLF_L2_Norm
20,"{'L': 16.772, 'H': 64}",256,2.112383891961557,1.003228072795493,0.43057600040903904,0.324050796654788,0.47492696598055234
20,"{'L': 7.918, 'H': 512}",256,1.1239781875589545,1.0060872142309643,0.8241134954102305,0.23624627946194912,0.8951127569619257
20,"{'L': 5.649, 'H': 4096}",256,0.3766499436928302,0.39325302360594433,0.966011464961959,0.1298661910037073,1.0440809302938712
20,"{'L': 4.639, 'H': 32768}",256,0.3617706798721461,0.36882261784069575,1.0111878867698358,0.06961364752042219,1.0194928399699
20,"{'L': 4.073, 'H': 262144}",256,0.18474170512841426,0.19441896116377538,0.9374264079734469,0.0532915980942848,1.0523826281057351
22,"{'L': 16.772, 'H': 64}",256,2.429312601005382,1.0056522291454741,0.37446955849364155,0.2575205848516805,0.41396575670388425
22,"{'L': 7.918, 'H': 512}",256,1.063495847931622,1.008330755944591,0.8508616581399487,0.20434435876113927,0.9481285309253245
22,"{'L': 5.649, 'H': 4096}",256,0.36780959183276496,0.38785581403067565,0.9848389824574024,0.11474275227396431,1.0545016297645258
22,"{'L': 4.639, 'H': 32768}",256,0.19861976628770692,0.21183649345058478,0.9534363970947262,0.05223431743454658,1.066542859303001
22,"{'L': 4.073, 'H': 262144}",256,0.10703854032647912,0.11481978279637872,0.6434940635280854,0.03987783646205114,1.072695707977388
24,"{'L': 16.772, 'H': 64}",256,2.981854370344789,1.0060911726405897,0.3168586611287126,0.1959007900274911,0.33740453009590016
24,"{'L': 7.918, 'H': 512}",256,1.2844725647629271,1.0404521892657812,0.7402927603241454,0.11283215446136398,0.8100228979649834
24,"{'L': 5.649, 'H': 4096}",256,0.6144608960727899,0.6043042103953958,1.0032092717639816,0.06512740034916584,0.9834705743810411
24,"{'L': 4.639, 'H': 32768}",256,0.2721095932056189,0.2476892201628624,0.90504579463093,0.020936002491940487,0.9102553763170589
24,"{'L': 4.073, 'H': 262144}",256,0.19315254418686115,0.22408084346571822,1.1570807146499242,0.01828388096293887,1.1601236960613688
26,"{'L': 16.772, 'H': 64}",256,3.622035825853281,1.0079479100548066,0.23523218310754934,0.11229098666686722,0.27828214808376545
26,"{'L': 7.918, 'H': 512}",256,1.3229051863013999,1.0786763009191305,0.7597824668824438,0.08943377629284052,0.8153844372890482
26,"{'L': 5.649, 'H': 4096}",256,0.5983634006178283,0.5172542129597693,0.8349119287315083,0.010933750129412858,0.8644482808034191
26,"{'L': 4.639, 'H': 32768}",256,0.28155170627524206,0.27355287300736975,0.8533573540213885,0.013156109745728985,0.9715901800998046
26,"{'L': 4.073, 'H': 262144}",256,0.029192564041029455,0.029119229416317133,0.7080601871701252,0.013004423166870052,0.9974879005280506
28,"{'L': 16.772, 'H': 64}",256,4.545755292057066,1.0162921750995282,0.12683717785422063,0.03940202146574297,0.22356948621394684
28,"{'L': 7.918, 'H': 512}",256,2.0309725502970393,1.2953740873584332,0.5213079115586338,0.020739640226088377,0.6378097464532343
28,"{'L': 5.649, 'H': 4096}",256,0.7526199742189355,0.5297609020604778,0.6665240172935578,0.02770565404276502,0.7038889747913752
28,"{'L': 4.639, 'H': 32768}",256,0.19993281341410143,0.20357526077204763,1.0258739358599351,0.011225219549002134,1.0182183569357468
28,"{'L': 4.073, 'H': 262144}",256,0.07369060829389257,0.07152411896107738,0.9276437463275775,0.014371037986632317,0.9706001974610551
30,"{'L': 16.772, 'H': 64}",256,6.217414127017564,1.022624655222844,0.10580681090833013,0.007176263458778532,0.16447748763896275
30,"{'L': 7.918, 'H': 512}",256,1.5592142658888675,1.035372493170103,0.5854053518695769,0.00436692944704915,0.6640347743226066
30,"{'L': 5.649, 'H': 4096}",256,0.6704093687641074,0.5590240967302876,0.8185654748183414,0.008330155404247966,0.8338548397091208
30,"{'L': 4.639, 'H': 32768}",256,0.13947797128789852,0.14140468181966775,1.0258728565592585,0.005777528948347799,1.0138137263825862
30,"{'L': 4.073, 'H': 262144}",256,0.10205272637828093,0.10080494349916923,0.9891147744509419,0.004597407577585097,0.9877731548838145
32,"{'L': 16.772, 'H': 64}",256,3.6005090761865617,1.0445767693206092,0.1995637395729231,0.0022508824021651103,0.2901191879307692
32,"{'L': 7.918, 'H': 512}",256,1.1045644151309957,1.004598706711059,0.8145172368747939,0.0022221454785916394,0.9094976200115218
32,"{'L': 5.649, 'H': 4096}",256,0.4733803713616182,0.4718951869120216,0.9593222787931023,0.007734200811482241,0.9968625981569015
32,"{'L': 4.639, 'H': 32768}",256,0.2798110556869358,0.26931580590143106,0.9829611854334687,0.0036490141322322142,0.9624916543782056
32,"{'L': 4.073, 'H': 262144}",256,0.09524245124163778,0.09666391075869048,0.9840563581043756,0.008673723169590994,1.0149246423052083
34,"{'L': 16.772, 'H': 64}",256,2.9895661142819603,1.05336889365277,0.2681690537212081,0.0010294497916054984,0.3523484189296045
34,"{'L': 7.918, 'H': 512}",256,1.0606767066841587,0.9951566791567845,0.8863103088987582,0.0022589300690172114,0.9382280886207071
