frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,232233.142783,11950.000000,14831.203795
4,753576.873435,25253.000000,10540.000000
8,487628.663779,15082.000000,8905.954525
16,619350.642288,17310.000000,783.164734
32,1433141.132620,43599.000000,66219.748150
64,2105542.045206,71620.000000,101607.795641
128,2067307.850839,58535.000000,116903.670567
256,2044923.357510,65471.000000,13329.888747
512,1905105.389830,60765.000000,288307.622124
1024,2276574.224927,68742.000000,346693.556850
2048,2433608.436297,78825.000000,691661.506612
4096,1414770.511877,35777.000000,413381.828964
8192,2670419.657169,81552.000000,1219249.349339
16384,1534504.321786,56608.000000,253219.919698
32768,4792923.154786,107015.000000,3021047.242044
65536,1610056.841611,59891.000000,0.000000
