frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,946799.877393,30899.000000,9549.397677
4,975064.593682,33413.000000,18035.030191
8,532763.777700,18678.000000,12679.897397
16,1253477.686793,35818.000000,30146.873967
32,397081.307856,14691.000000,10434.587582
64,2146586.812411,62268.000000,66562.200227
128,1875227.209926,68232.000000,35415.448352
256,1732765.958062,51257.000000,83422.035974
512,1995611.975675,61053.000000,301387.165355
1024,2266070.247835,64945.000000,194627.230525
2048,2442073.312043,78621.000000,291237.134427
4096,3080400.954642,87100.000000,491237.907751
8192,2157520.885901,56691.000000,193067.215881
16384,2452901.851320,75096.000000,712410.101004
32768,4580574.288956,111646.000000,2643366.206264
65536,4737511.772353,138146.000000,2984314.751110
