frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,766770.843045,29980.000000,9597.782192
4,975383.383590,30167.000000,1683.945664
8,987131.944194,23552.000000,38589.419781
16,1040798.769305,26649.000000,7005.484137
32,739329.832447,26069.000000,25534.736028
64,1373099.374329,47659.000000,127037.814370
128,2145514.194357,60983.000000,202484.113458
256,1253711.988962,40104.000000,47534.568895
512,2855919.059153,86935.000000,137202.619366
1024,2686750.256635,80468.000000,263821.055132
2048,1533520.001024,41282.000000,314014.151460
4096,2823051.892253,74566.000000,297158.422400
8192,3318481.829927,94611.000000,1454677.854428
16384,868862.261494,34509.000000,493884.312046
32768,2466208.698026,77632.000000,473226.545016
65536,140574.903788,6077.000000,0.000000
