frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,631560.742458,23892.000000,8912.824075
4,987959.853550,44514.000000,9935.251280
8,1298343.209317,51932.000000,47493.678453
16,1440354.916545,49943.000000,14211.475258
32,1373507.172399,49192.000000,40977.125375
64,1210482.697251,48928.000000,76767.116854
128,2410758.976148,80755.000000,122609.906276
256,1924455.258530,64841.000000,92771.068642
512,1951898.286876,66148.000000,144210.544004
1024,2446096.694292,81240.000000,303839.695572
2048,2567733.324838,84410.000000,229865.954265
4096,2989027.253035,107410.000000,399935.235753
8192,2705178.216887,102344.000000,1640453.531831
16384,2027218.032016,65229.000000,804638.982050
32768,1945490.863754,76556.000000,548345.250608
65536,9415465.212468,220703.000000,7249951.863870
