frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,862765.328252,34600.000000,18559.028046
4,1034752.332501,39196.000000,46142.715796
8,1174103.949817,45560.000000,31969.485764
16,876827.216364,32790.000000,28684.573520
32,1181671.863498,38055.000000,19670.573530
64,2207748.977063,72418.000000,51715.562029
128,1914407.593190,63472.000000,61751.220369
256,1955950.771964,64791.000000,194032.618010
512,1571567.948981,63999.000000,95043.984160
1024,2862615.136538,90076.000000,614922.388099
2048,1546120.616171,48145.000000,301557.748871
4096,1579661.576359,51957.000000,418690.341845
8192,2531000.590274,74725.000000,850001.592117
16384,578567.852455,21384.000000,154554.222653
32768,734319.472051,27552.000000,355379.840330
65536,3264776.506919,91344.000000,2175919.792834
