frequency,RR_L2_norm_flow_time,RR_maximum_flow_time,RR_longest_H_L2_norm
2,797813.721691,28859.000000,23883.432605
4,476462.945924,14741.000000,8455.698434
8,503901.044500,20961.000000,15881.614590
16,1227920.655721,38067.000000,40715.701111
32,1165831.853164,46262.000000,31138.127240
64,1384045.519594,45200.000000,68897.249916
128,2132074.692172,62980.000000,147272.946114
256,1871515.900150,57671.000000,138979.069687
512,2074263.928262,67651.000000,65493.571204
1024,2629038.628718,72771.000000,433408.069537
2048,1604610.558696,65271.000000,451253.299011
4096,2586578.272797,79964.000000,671224.171285
8192,910503.695092,30732.000000,113874.375507
16384,3951274.386220,108392.000000,2193844.974876
32768,2769339.948130,84126.000000,1159735.090767
65536,3300891.542569,97035.000000,3008127.172745
