arrival_rate,bp_L,bp_H,FCFS_percentage,BAL_percentage,total_rounds
28.00,13.00,262144,0.00,100.00,100
22.00,13.00,262144,0.00,100.00,100
32.00,13.00,262144,0.00,100.00,100
30.00,90.00,18,99.00,1.00,100
28.00,90.00,18,97.00,3.00,100
20.00,15.30,32768,0.00,100.00,100
28.00,15.30,32768,0.00,100.00,100
36.00,90.00,18,99.00,1.00,100
38.00,13.00,262144,0.00,100.00,100
28.00,90.00,36,0.00,100.00,100
20.00,90.00,18,5.00,95.00,100
22.00,15.30,32768,0.00,100.00,100
36.00,90.00,27,93.00,7.00,100
30.00,13.00,262144,0.00,100.00,100
30.00,90.00,36,0.00,100.00,100
30.00,15.30,32768,0.00,100.00,100
26.00,90.00,36,0.00,100.00,100
40.00,13.00,262144,0.00,100.00,100
32.00,15.30,32768,0.00,100.00,100
24.00,13.00,262144,0.00,100.00,100
28.00,19.70,4096,0.00,100.00,100
32.00,19.70,4096,0.00,100.00,100
30.00,19.70,4096,0.00,100.00,100
28.00,90.00,27,6.00,94.00,100
36.00,19.70,4096,0.00,100.00,100
32.00,90.00,18,99.00,1.00,100
26.00,90.00,18,88.00,12.00,100
38.00,15.30,32768,0.00,100.00,100
32.00,90.00,27,49.00,51.00,100
38.00,19.70,4096,0.00,100.00,100
26.00,90.00,27,1.00,99.00,100
30.00,90.00,27,24.00,76.00,100
20.00,13.00,262144,0.00,100.00,100
32.00,32.30,512,0.00,100.00,100
34.00,19.70,4096,0.00,100.00,100
40.00,90.00,27,98.00,2.00,100
38.00,90.00,18,99.00,1.00,100
20.00,19.70,4096,0.00,100.00,100
34.00,90.00,18,99.00,1.00,100
28.00,32.30,512,0.00,100.00,100
22.00,90.00,27,0.00,100.00,100
22.00,32.30,512,0.00,100.00,100
40.00,15.30,32768,0.00,100.00,100
26.00,15.30,32768,0.00,100.00,100
24.00,15.30,32768,0.00,100.00,100
34.00,90.00,27,69.00,31.00,100
36.00,90.00,36,10.00,90.00,100
22.00,90.00,18,20.00,80.00,100
20.00,90.00,27,0.00,100.00,100
38.00,90.00,27,95.00,5.00,100
24.00,90.00,18,53.00,47.00,100
40.00,90.00,18,99.00,1.00,100
34.00,15.30,32768,0.00,100.00,100
22.00,90.00,36,0.00,100.00,100
26.00,19.70,4096,0.00,100.00,100
34.00,32.30,512,0.00,100.00,100
34.00,13.00,262144,0.00,100.00,100
38.00,90.00,36,35.00,65.00,100
40.00,19.70,4096,0.00,100.00,100
24.00,19.70,4096,0.00,100.00,100
20.00,32.30,512,0.00,100.00,100
32.00,90.00,36,3.00,97.00,100
40.00,90.00,36,59.00,41.00,100
24.00,90.00,27,1.00,99.00,100
36.00,13.00,262144,0.00,100.00,100
26.00,13.00,262144,0.00,100.00,100
36.00,15.30,32768,0.00,100.00,100
36.00,32.30,512,0.00,100.00,100
22.00,19.70,4096,0.00,100.00,100
20.00,90.00,36,0.00,100.00,100
24.00,32.30,512,0.00,100.00,100
26.00,32.30,512,0.00,100.00,100
38.00,32.30,512,0.00,100.00,100
24.00,90.00,36,0.00,100.00,100
40.00,32.30,512,0.00,100.00,100
30.00,32.30,512,0.00,100.00,100
34.00,90.00,36,4.00,96.00,100
