frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,52601.258455,22871.000000,1104.138125
4,371134.916670,354476.000000,21.771541
8,207850.708777,159417.000000,25.748786
16,181207.542456,141468.000000,873.828358
32,393271.733827,268675.000000,437.531713
64,364228.385289,237746.000000,1014.923642
128,70316.678199,55109.000000,1310.671202
256,297923.761426,196164.000000,2534.237755
512,310721.967210,156608.000000,737.659135
1024,206819.886723,138301.000000,10423.043797
2048,345170.993161,218841.000000,24824.902538
4096,133248.876434,51122.000000,82781.640803
8192,315716.533115,182359.000000,73738.466834
16384,557965.337669,167106.000000,412225.195523
32768,250005.925180,131188.000000,199778.543470
65536,474753.427516,165484.000000,461416.016501
