frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,166467.448316,93935.000000,7.000000
4,185868.955140,173557.000000,43.829214
8,108279.222268,67511.000000,117.885538
16,383428.331376,197071.000000,239.922904
32,645091.470963,289467.000000,294.362022
64,389078.880020,235560.000000,15478.783576
128,453338.835914,260954.000000,687.164464
256,317282.185959,248410.000000,4770.909871
512,269035.756430,129339.000000,9253.745782
1024,469014.733422,228909.000000,32123.839714
2048,404343.341947,249788.000000,29218.614324
4096,460718.166947,277728.000000,10033.694634
8192,683961.423343,252858.000000,490643.438282
16384,508583.793086,249209.000000,168556.283778
32768,253341.888759,118489.000000,139260.685353
65536,810947.889094,279350.000000,682496.125091
