frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,117966.837361,52073.000000,0.000000
4,310939.499178,176338.000000,0.000000
8,232282.478508,173335.000000,0.000000
16,446454.216461,229336.000000,0.000000
32,350757.749316,214693.000000,0.000000
64,142830.450419,79392.000000,0.000000
128,469394.738821,211781.000000,0.000000
256,222642.199367,159017.000000,0.000000
512,395494.042542,254341.000000,0.000000
1024,610897.076813,283650.000000,0.000000
2048,300520.189443,160237.000000,0.000000
4096,491641.050251,219085.000000,0.000000
8192,561867.767050,270875.000000,0.000000
16384,823913.489569,232966.000000,0.000000
32768,542875.572639,57891.000000,0.000000
65536,304608.249828,119463.000000,0.000000
