frequency,BAL_L2_norm_flow_time,BAL_maximum_flow_time,BAL_longest_H_L2_norm
2,126853.577904,74500.000000,88.408144
4,243793.722499,141583.000000,48.703183
8,83439.126733,37252.000000,92.211713
16,63883.592596,26533.000000,229.899978
32,125938.874495,113872.000000,40.558600
64,320014.975434,207329.000000,67.074585
128,63107.202655,33060.000000,335.603933
256,128843.058424,107747.000000,794.647721
512,244097.721493,191144.000000,11566.493894
1024,202041.874454,124341.000000,125634.682887
2048,319026.012485,249937.000000,57257.468395
4096,609047.214854,257408.000000,8921.169206
8192,643854.280580,215005.000000,399903.664661
16384,303859.765125,153460.000000,88109.212521
32768,194255.165586,148236.000000,15902.083134
65536,2671987.676042,264815.000000,2388121.757675
