mean_inter_arrival_time,mode1_L2_norm_flow_time,mode2_L2_norm_flow_time,mode3_L2_norm_flow_time,mode4_L2_norm_flow_time,mode5_L2_norm_flow_time,mode6_L2_norm_flow_time
20.0,209929557.79247501,209972151.68817633,210015113.16165817,210020665.69274727,210020209.10282418,210025476.0994373
22.0,204429208.22937232,204456870.79325372,204505206.3200136,204572719.7902529,204700178.07326275,204816204.32291403
24.0,198883012.5675953,198925571.94862074,198888238.89572844,199054906.52780494,199255519.0005085,199504133.6451454
26.0,193429348.60681915,193539875.8435108,193763737.5879162,193965005.65927303,193980486.57141733,193983679.08890715
28.0,187909387.70695806,188225629.51892018,188458967.07632163,188539073.12182793,188541492.24607953,188558435.9955194
30.0,181916209.1430987,182082425.26310247,182145439.51434305,182265090.15244725,182452864.11013305,182759224.88600388
32.0,176012778.3015854,176097081.7812826,176076663.5365592,176176222.79876712,176370720.97936425,177290569.4206464
34.0,170196077.69921327,170375394.98539442,170794456.82308835,171305432.64201376,171552176.71980435,171605975.6594402
36.0,163930191.7605408,164208877.79445493,164962636.99121338,165341157.8440084,165619972.39684245,165804274.73542744
38.0,157835062.4327702,158120235.8742755,158282891.72951114,158260101.95532325,158237504.51333937,159517772.02783757
40.0,151772512.9692362,151929805.87566084,152091298.23274544,152158510.16071045,152686593.57573563,153766733.10316452
