coherence_time,mode1_L2_norm_flow_time,mode2_L2_norm_flow_time,mode3_L2_norm_flow_time,mode4_L2_norm_flow_time,mode5_L2_norm_flow_time,mode6_L2_norm_flow_time
2,74399037.7969093,71739584.3938424,70827950.92392041,70254447.3005966,70182261.4715534,69777934.1467742
4,88410417.5168479,85490376.08777541,85371003.39507921,85014419.2675313,85023374.15428461,84859650.6243156
8,103175770.412414,96620266.8477582,96012893.6774177,95783375.8482533,95702006.8088332,95128002.80054979
16,104103711.7288188,103089787.49386871,102552498.7120918,102333756.92126091,102055437.32183251,102057577.677158
32,96467820.7716317,95938229.5697715,95661876.22017941,95321952.1139791,95228338.3107348,94834276.3845156
64,82288937.7878714,81341658.0083028,81035467.7415514,80674739.4466174,79915239.3251462,79399269.7754049
128,87124436.3826612,84489648.6134501,83544100.6780617,82898722.625802,82399775.0909491,80956814.0638731
256,66669211.5040321,61145420.9920905,57937206.5610105,57374476.3407446,56631781.1791713,55817374.659103
512,82421118.2710662,81716609.5625646,82371127.98819861,79872227.9990509,79134184.3539708,76664145.8457027
1024,61606265.678679205,60544928.450213894,59820699.9909786,58579492.06663151,57213429.8490618,56551203.06978001
2048,100872643.7961731,99074376.9906794,91618209.8463065,90722280.22753559,89219061.0920963,83935839.3856591
4096,34987311.0728981,35059962.158184394,35207812.2372885,35347696.7383775,34609709.7628731,31420032.2959934
8192,170657685.47577518,170153913.8371936,168823884.76860088,162189998.737814,161538635.7734343,159464278.5465867
16384,109868175.9115349,109700507.78434739,112077476.14871521,110542164.5522981,108128644.8858861,96162011.39522049
32768,77807053.5572402,77377324.89051339,76602938.59383139,76301737.7637051,75306018.76749389,68232639.5259881
65536,126981618.6582481,127020480.61299391,127047371.3002208,127060181.37336668,126694091.8764565,114502305.46689849
