mean_inter_arrival_time,mode1_L2_norm_flow_time,mode2_L2_norm_flow_time,mode3_L2_norm_flow_time,mode4_L2_norm_flow_time,mode5_L2_norm_flow_time,mode6_L2_norm_flow_time
20.0,4269732.54903204,4325718.48632822,4347332.61938608,4347834.494425921,4349257.206977859,4347867.0092252605
22.0,3478836.5582253397,3515356.5728623406,3518409.9075340605,3518483.9944658196,3518424.8402411803,3518153.8034596397
24.0,2689887.2059901603,2693998.02813338,2694732.2632571803,2694729.93029168,2694714.6945759603,2694878.8635241
26.0,1871686.73209436,1880124.4806300201,1880289.0476216201,1879031.3790514003,1881079.36119894,1880289.3379977397
28.0,1134168.0331521002,1138838.7329958002,1137645.12122516,1136701.65677392,1138815.3260228,1138838.7329958002
30.0,380360.71767436,370574.62694104004,370569.33669974,370468.75841531996,370569.62479538005,368221.51024020003
32.0,86469.23380342001,80574.83651724,81701.65653028002,81717.62741696001,81594.26034122,81630.5933687
34.0,59681.93704422,59597.562418400004,59587.31371796001,59590.93082714001,59597.2466875,59585.7304845
36.0,155284.64873462,53434.311598,53420.098525,155180.90594088,155187.67365965998,53419.20886615999
38.0,39222.03775122001,39147.212920620004,39137.10693634,39136.551350899994,39150.32665666,39133.07078552
40.0,45362.83602908,44887.14298264,44873.186951300006,44856.20089458,44858.78881844001,44852.64536004
