mean_inter_arrival_time,mode1_L2_norm_flow_time,mode2_L2_norm_flow_time,mode3_L2_norm_flow_time,mode4_L2_norm_flow_time,mode5_L2_norm_flow_time,mode6_L2_norm_flow_time
20.0,127244300.18722887,127325338.2546744,127496093.22455123,127553685.8554914,127692283.71296768,127732870.42309284
22.0,120720139.83441141,120665329.2594982,120834507.31808409,120935942.01564021,121238782.63762781,121437306.73418567
24.0,114241520.57885687,114418441.52840368,114845083.31915879,115056431.43170366,115179876.10807681,115295035.5700279
26.0,107568484.37756333,107691638.87927513,107762259.45868146,107746354.16441543,107805062.69719669,108776632.71237186
28.0,101198298.85370259,101311304.57983181,101494812.83682671,101936870.44141206,102188257.52098356,102199354.47561833
30.0,95019963.75637105,95146678.92752066,95527770.18330975,95686645.77574134,95688204.37735026,95682150.68171947
32.0,88701099.24296522,88922849.57948978,89223058.35283785,89225385.5901543,89227634.68273497,89220161.97211842
34.0,82576589.0386351,82840471.0970502,82846734.85817145,82848274.3441423,82859305.46957035,82848275.79321885
36.0,76419634.6597884,76521917.18552871,76545267.48644343,76545720.28796308,76548772.62081182,76545267.55709922
38.0,70280355.21089892,70307588.0245765,70305756.97255847,70305756.83467492,70305754.47933376,70303345.9146258
40.0,63751933.50808591,63777582.33601389,63789105.70787342,63790117.192332424,63790117.192332424,63789388.284305975
