coherence_time,mode1_L2_norm_flow_time,mode2_L2_norm_flow_time,mode3_L2_norm_flow_time,mode4_L2_norm_flow_time,mode5_L2_norm_flow_time,mode6_L2_norm_flow_time
2,79440470.9654734,79066093.862287,78689622.32668081,78686183.62309739,78756419.0129883,78655729.8065802
4,79181989.6950387,78948908.57381381,78931277.8720538,78809399.4134436,78827561.1922916,78788813.5617576
8,81339616.9379195,79872353.5118396,79748920.2033335,79748920.2033335,79748920.2033335,79748920.2033335
16,79995874.4987934,79863289.1446552,79868914.3366911,79868914.3366911,79889684.7814685,79830649.4050764
32,80908295.6513181,80741036.85237959,80528683.38846509,80528683.38846509,80531971.5137622,80528683.38846509
64,81279167.36389211,80958000.44355151,80876825.6079893,80961238.959992,80983484.8906219,80876838.45767179
128,80957411.5957367,80958193.17257181,80977386.86155531,80983207.0357436,80992109.2682142,80965363.6519545
256,83106476.5621742,82798953.9754323,81111489.2566921,81118817.4240176,81186505.6472815,81103890.0763025
512,82653657.0840959,81434914.72191581,81052065.65718159,80892568.9614349,80948301.3600506,80824019.94053249
1024,85502708.80777511,83159095.0889841,80894141.8418071,80857181.0525217,80928530.21678409,80626462.462778
2048,92403627.9220607,87722687.92485431,81443025.54673061,82580811.8411047,81102169.7607606,80688551.1290887
4096,88567307.00817999,91370305.7503276,83862739.84281531,81177079.5127708,80510618.3628975,78699368.5608103
8192,89855063.6232428,89301165.008321,85431574.2407691,81186545.4840961,79695972.3400333,77818756.5508797
16384,90436594.9720328,90241234.8930135,89376582.0633956,87155772.6884758,84492481.88944289,81134746.5637545
32768,105707029.9862284,105162609.18279001,106193858.24367811,103050417.52393779,90022264.2719988,84244353.6586854
65536,98916411.7674098,100053649.2847091,99880426.1253594,99593279.69413559,97029693.5141489,90198573.0323364
