frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,1833856.495166,221991.000000,56003.577841
4,2959875.786104,291617.000000,60673.043487
8,2812736.841751,292456.000000,48425.684177
16,3078027.561602,278956.000000,72184.951229
32,4272784.945444,299338.000000,133667.655082
64,2596268.410722,293304.000000,32327.732584
128,4053285.155673,301531.000000,445846.848226
256,3722914.008089,300449.000000,345874.291671
512,5341528.191799,303072.000000,316654.489570
1024,4528755.368221,280681.000000,918454.212397
2048,5745231.181860,288786.000000,1237851.737397
4096,5540883.496506,288491.000000,1628423.350453
8192,4090460.856363,305815.000000,1235465.957430
16384,5129417.416013,304956.000000,1648821.288817
32768,6162559.918565,305969.000000,2415170.657065
65536,8033973.904796,303111.000000,5264331.073366
