frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,2098672.877355,269656.000000,0.000000
4,1755653.316834,297739.000000,0.000000
8,3609814.850384,261251.000000,0.000000
16,3627785.286980,300367.000000,0.000000
32,4152574.857570,302195.000000,0.000000
64,4906932.153808,304236.000000,0.000000
128,5320676.156829,303917.000000,0.000000
256,5470797.728033,289168.000000,0.000000
512,3926475.790238,303501.000000,0.000000
1024,5315184.331167,253996.000000,0.000000
2048,4132464.153357,305187.000000,0.000000
4096,7393399.204662,275425.000000,0.000000
8192,2528751.628247,146078.000000,0.000000
16384,6137431.715477,227138.000000,0.000000
32768,10396836.111356,236663.000000,0.000000
65536,4581212.780518,173006.000000,0.000000
