frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,3068673.894338,303155.000000,0.000000
4,1310724.131198,223220.000000,0.000000
8,2531467.630450,298635.000000,0.000000
16,1791256.446528,207636.000000,0.000000
32,5026210.644085,303125.000000,0.000000
64,3927281.203250,282669.000000,0.000000
128,4285044.443216,302706.000000,0.000000
256,3894170.567042,276814.000000,0.000000
512,4203826.059678,301140.000000,0.000000
1024,5800727.641797,294724.000000,0.000000
2048,4254774.628953,292409.000000,0.000000
4096,4427027.043564,303830.000000,0.000000
8192,7619842.381763,303971.000000,0.000000
16384,6046511.138788,293953.000000,0.000000
32768,3745923.452456,207204.000000,0.000000
65536,10036620.078201,308737.000000,0.000000
