frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,2358185.046880,289961.000000,83077.755892
4,1847905.158301,229659.000000,808.909760
8,3652016.492934,291704.000000,18315.896538
16,3852057.442794,301254.000000,13074.326445
32,2775296.634456,291466.000000,53872.742505
64,4632026.438562,306983.000000,295265.339464
128,4741515.631095,282407.000000,452746.798413
256,5778856.488253,304860.000000,143298.125619
512,4311334.573140,302434.000000,641997.172748
1024,4113710.005393,297970.000000,546133.973263
2048,4019801.987731,295888.000000,451888.668094
4096,5175841.376968,207496.000000,938046.292651
8192,9389110.871303,295564.000000,1536858.954603
16384,1352644.864430,90168.000000,904397.020828
32768,5353145.525958,245174.000000,2957169.592240
65536,2623837.264504,96233.000000,1218048.762544
