frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,2005795.589640,278383.000000,29724.693068
4,2611089.472502,301046.000000,27572.368578
8,2936688.972278,302854.000000,177.645715
16,3858032.436175,303591.000000,40529.553168
32,3171199.094194,273556.000000,2616.738619
64,3662188.001977,303537.000000,272216.076437
128,4060437.002719,298704.000000,326446.124387
256,5209119.634466,305573.000000,374516.855471
512,5174672.062671,295525.000000,437876.481073
1024,2870836.657215,301278.000000,230174.275435
2048,3627793.765815,302611.000000,246754.507596
4096,2493609.102822,257668.000000,537349.586462
8192,1853103.957631,108429.000000,706540.647445
16384,1033196.320558,91055.000000,594996.897950
32768,5412546.901141,152393.000000,3590348.467166
65536,9932726.929532,290105.000000,7518915.930011
