frequency,RMLF_L2_norm_flow_time,RMLF_maximum_flow_time,RMLF_longest_H_L2_norm
2,1554150.655644,204616.000000,0.000000
4,2388856.885520,256664.000000,0.000000
8,3050381.501641,303505.000000,0.000000
16,2794302.913484,284169.000000,0.000000
32,2594982.136745,225468.000000,0.000000
64,3403887.693013,303501.000000,0.000000
128,4551742.323791,299405.000000,0.000000
256,3135413.923143,267714.000000,0.000000
512,5217944.365564,297692.000000,0.000000
1024,6636497.660855,287791.000000,0.000000
2048,4543808.576598,301001.000000,0.000000
4096,4765149.947966,303737.000000,0.000000
8192,2586059.287582,246421.000000,0.000000
16384,604828.187371,34703.000000,0.000000
32768,8762855.255402,277693.000000,0.000000
65536,11677898.182449,304556.000000,0.000000
